LATITUDE,LONGITUDE,HOUR,DAYOFWEEK,MONTH,BLOCK CODE,LOCATION CODE, PRIMARY DESCRIPTION
41.92620132,-87.73589564,0,0,1,16648,126,ARSON
41.815864,-87.66578418,0,0,1,7151,24,ARSON
41.78562247,-87.68503279,0,0,1,21210,126,ARSON
41.81462017,-87.71264558,0,0,1,16545,126,ARSON
41.7838661,-87.61666121,0,0,1,1445,45,ARSON
41.90570512,-87.69271303,3,6,1,11141,17,ARSON
41.88309443,-87.67989139,22,5,3,9315,32,ARSON
41.74675068,-87.62126631,0,0,1,25285,99,ARSON
41.73383012,-87.62253747,7,3,1,26126,116,ARSON
41.78599359,-87.6631461,22,3,6,21237,17,ARSON
41.82876229,-87.61443616,18,6,9,14525,17,ARSON
41.78077963,-87.70443661,0,0,1,13258,116,ARSON
41.79293662,-87.67548695,0,0,1,20167,99,ARSON
41.6748276,-87.65764965,0,0,1,28348,116,ARSON
41.87403021,-87.74808361,0,0,1,18316,116,ARSON
41.82636572,-87.63295848,0,0,1,1290,17,ARSON
41.74139618,-87.71353813,0,0,1,14608,120,ARSON
41.92097847,-87.78414567,0,0,1,9437,15,ARSON
42.01200078,-87.78520688,0,0,1,22445,99,ARSON
41.77663203,-87.74038009,0,0,1,17709,116,ARSON
41.78314936,-87.63756486,0,0,1,21815,116,ARSON
41.7782931,-87.70189817,23,5,10,22375,17,ARSON
41.69892479,-87.6377338,1,3,6,27640,99,ARSON
41.88296821,-87.69010155,0,0,1,10831,15,ARSON
41.75089628,-87.62776933,0,0,1,872,113,ARSON
41.80388601,-87.6697083,1,5,6,18287,116,ARSON
41.88048626,-87.72566518,16,4,7,317,47,ARSON
41.77984368,-87.70641826,19,5,12,13582,102,ARSON
41.7816854,-87.70446442,0,0,1,13255,99,ARSON
41.9564968,-87.71912008,20,5,3,15997,15,ARSON
41.91513076,-87.74379535,0,0,1,17733,94,ARSON
41.75527656,-87.63863929,7,6,11,24578,17,ARSON
41.88253954,-87.62785054,0,0,1,240,89,ARSON
41.89434698,-87.66107426,0,0,1,5945,17,ARSON
41.78871889,-87.65384053,0,0,1,5019,126,ARSON
41.6771749,-87.61657227,0,0,1,28340,100,ARSON
41.82887768,-87.68988748,0,0,1,14171,116,ARSON
41.77334865,-87.68091852,21,0,2,22973,61,ARSON
41.8342616,-87.71940583,0,0,1,13179,100,ARSON
41.8863035,-87.71476531,0,0,1,14293,109,ARSON
41.83413194,-87.72185094,20,1,9,13211,100,ARSON
41.80340427,-87.61253375,0,0,1,18522,116,ARSON
41.78842802,-87.76946695,0,0,1,20713,116,ARSON
41.75788608,-87.61669378,1,0,4,24383,17,ARSON
41.75358538,-87.56319432,10,0,1,10480,17,ARSON
41.96007813,-87.74749911,0,0,1,16456,17,ARSON
42.02184131,-87.67071474,23,3,7,24634,17,ARSON
41.77104587,-87.62125062,0,0,1,581,101,ARSON
41.86546403,-87.72149373,0,0,1,5290,116,ARSON
41.84913125,-87.71248459,0,0,1,9885,116,ARSON
41.84620975,-87.63933,0,0,1,2138,116,ARSON
41.8048954,-87.63445408,0,3,12,18275,126,ARSON
42.01036502,-87.66454179,1,0,6,5934,15,ARSON
41.87690915,-87.62842654,0,5,11,494,56,ARSON
41.78501756,-87.62221804,0,0,1,21535,17,ARSON
41.83777516,-87.72680701,0,0,1,12480,15,ARSON
41.72860378,-87.59493608,11,6,2,26391,99,ARSON
41.76383259,-87.56647698,0,0,1,24023,17,ARSON
41.75329127,-87.64896259,0,0,1,24713,116,ARSON
41.73541857,-87.6014749,0,0,1,25971,17,ARSON
42.01664654,-87.69788613,0,0,1,11518,15,ARSON
41.76984937,-87.64695372,0,0,1,23324,116,ARSON
41.85148914,-87.72853472,0,0,1,16139,100,ARSON
41.72993241,-87.60272416,3,5,3,26239,116,ARSON
41.83471196,-87.6835432,0,6,9,9976,116,ARSON
41.76562099,-87.6195768,20,4,3,1013,17,ARSON
41.86003231,-87.72133626,0,0,1,6633,102,ARSON
41.94135633,-87.71746436,22,2,7,13389,15,ARSON
41.76807067,-87.61853792,0,0,1,23489,99,ARSON
41.86633173,-87.66637917,0,0,1,5289,72,ARSON
41.89473426,-87.77369701,0,0,1,21330,113,ARSON
41.87376163,-87.69954577,0,0,1,12262,17,ARSON
41.74115164,-87.62426682,20,4,9,25689,99,ARSON
41.92791658,-87.64522884,0,0,1,3017,40,ARSON
41.73611823,-87.57812811,0,0,1,25953,99,ARSON
41.74122576,-87.62426967,12,3,9,25689,99,ARSON
41.88731468,-87.75941327,23,6,9,19641,15,ARSON
41.84158291,-87.72812157,0,0,1,11380,15,ARSON
41.76139542,-87.65548138,0,0,1,5410,101,ARSON
41.7723604,-87.65248818,20,2,8,5112,100,ARSON
41.75527838,-87.63441356,0,0,1,24598,116,ARSON
41.89787433,-87.7139521,0,0,1,4118,116,ARSON
41.7441908,-87.64385589,0,0,1,25393,69,ARSON
41.99891565,-87.67727301,0,0,1,22499,76,ARSON
41.99175305,-87.66580343,0,0,1,6415,15,ARSON
41.79433515,-87.70973889,19,0,1,13880,116,ARSON
41.69380186,-87.61950361,0,0,1,27816,0,ARSON
41.90907759,-87.73017365,3,5,10,6556,99,ARSON
41.70450506,-87.64154447,20,0,12,27331,99,ARSON
41.76492941,-87.57627282,0,0,1,23794,17,ARSON
41.8937102,-87.62677268,6,4,11,2849,78,ARSON
41.88317097,-87.76329155,0,0,1,721,15,ARSON
42.01215684,-87.69586652,0,0,1,11210,87,ARSON
41.73202665,-87.63499541,22,1,8,26164,121,ARSON
41.7311447,-87.66292886,0,0,1,26138,69,ARSON
41.69798052,-87.6291353,0,0,1,1256,17,ARSON
41.91248911,-87.71784482,0,0,1,7447,15,ARSON
41.8106001,-87.6244955,0,0,1,17419,94,ARSON
41.83469799,-87.71941634,0,0,1,13179,100,ARSON
41.75994599,-87.57922692,0,0,1,24250,17,ARSON
41.76540594,-87.58365693,0,0,1,23772,101,ARSON
41.78230831,-87.68617346,0,0,1,21738,0,ARSON
41.95275397,-87.80522842,0,0,1,23884,116,ARSON
41.94698907,-87.72497154,3,6,1,14469,116,ARSON
41.89761666,-87.76218238,2,3,10,19986,99,ARSON
41.74614086,-87.65240616,0,0,1,25283,109,ARSON
41.88738497,-87.74030088,21,5,7,1545,91,ARSON
41.76625037,-87.63717198,0,0,1,23643,17,ARSON
41.90307749,-87.68367333,1,1,12,9608,76,ARSON
41.89232911,-87.74223845,0,0,1,17464,99,ARSON
41.89223445,-87.71743697,0,0,1,2818,116,ARSON
41.7611713,-87.63456221,0,0,1,24173,17,ARSON
41.87245921,-87.73347373,0,0,1,16669,126,ARSON
41.82968291,-87.66793388,0,0,1,14166,110,ARSON
41.76627483,-87.63261905,4,6,7,1755,92,ARSON
41.66992038,-87.55925853,13,5,6,28480,120,ARSON
41.99472848,-87.8068239,0,0,1,21926,15,ARSON
41.93049232,-87.71091716,10,2,9,11344,116,ARSON
41.83135141,-87.67125567,23,0,1,7990,15,ARSON
41.90677012,-87.75588135,0,0,1,6106,116,ARSON
41.93409924,-87.75957838,0,0,1,19653,116,ARSON
41.81315055,-87.69190472,0,0,1,16895,116,ARSON
41.70751943,-87.60183902,0,0,1,3535,110,ARSON
41.78415,-87.68622094,0,1,10,21477,17,ARSON
41.87111293,-87.74805515,0,0,1,18354,126,ARSON
41.85859482,-87.62721443,20,2,1,7523,96,ARSON
41.79776735,-87.73065008,0,0,1,19172,116,ARSON
41.71290293,-87.53769438,1,0,10,27022,120,ARSON
41.89059664,-87.76048203,0,0,1,2405,116,ARSON
41.85970447,-87.66028456,0,0,1,5811,99,ARSON
41.9532003,-87.76535534,0,0,1,20241,116,ARSON
41.91520372,-87.77542508,0,0,1,8168,94,ARSON
41.92878047,-87.65342924,0,0,1,10536,112,ARSON
42.00182236,-87.6899875,0,1,7,22902,92,ARSON
41.83854939,-87.7024181,0,0,1,12457,116,ARSON
41.75953427,-87.60907381,23,5,10,24254,61,ARSON
41.8743458,-87.7264063,1,4,5,15875,116,ARSON
41.75236393,-87.69823102,14,3,3,12600,94,ARSON
41.77569909,-87.67441664,1,6,9,8739,99,ARSON
41.92068597,-87.738115,0,0,1,16974,116,ARSON
41.79534757,-87.65126946,22,1,8,19777,17,ARSON
41.96185372,-87.70949061,0,0,1,16805,116,ARSON
41.77848573,-87.67510304,1,3,9,22364,101,ARSON
41.95591833,-87.75190115,3,5,11,15956,99,ARSON
41.87288145,-87.7602694,0,0,1,19950,126,ARSON
41.89956274,-87.74917289,0,0,1,18318,116,ARSON
41.7495362,-87.5467922,9,1,10,25067,99,ARSON
41.71825581,-87.57525682,0,0,1,26832,99,ARSON
41.96592623,-87.72796468,19,5,7,17329,116,ARSON
41.74681152,-87.60384103,23,4,6,25282,17,ARSON
41.87759547,-87.6823966,0,0,1,9638,15,ARSON
41.88682005,-87.63495008,5,3,2,1359,116,ARSON
41.90067399,-87.73686096,0,0,1,16982,100,ARSON
41.77542973,-87.64075349,0,0,1,22781,17,ARSON
41.95945244,-87.74749749,0,3,11,16456,103,ARSON
41.87785511,-87.62874295,0,0,1,1655,71,ARSON
41.67807221,-87.61964452,0,0,1,536,116,ARSON
